(Douglass' Monthly), 13.2228920751, 12.0460886358, 10.4868153176, 9.5176399082, 14.4001032403, 22.3461428426, 12.7566459154, 9.4971603428, 10.7047890879, 38.8461523274, 14.9731693068, 7.5098317779, 33.7797677742, 13.2235349423, 31.1315454317, 13.5753781015, 13.3972882956, 8.8985917094, 8.7922248251, 9.3887652365, 17.0551638274, 8.7349576123, 15.5249180940, 22.8456254063, 19.0215651288, 15.9285590330, 10.6546959498, 13.1434220334, 16.3008230375, 12.2251358390, 10.0484418887, 20.9008189126, 12.6040360012, 10.7463731084, 9.4169430693, 9.5680753123, 9.4913380823, 21.6105713801, 17.6647109468, 25.5017547143, 31.0049796167, 17.9087344761, 13.2896607788, 9.0067445264, 86.6924747531, 12.9289049494, 12.6515483530, 16.0381920177, 8.2720814761, 10.8336321418, 9.8336731671, 21.8601052524, 10.8585441103, 21.8490049137, 20.4449359728, 21.2876717997, 12.1602532738, 9.6737532743, 10.3710454818, 11.5898346775, 11.5931719636, 9.2408258374, 17.4838906841, 12.1753580550, 23.0310867604, 8.6865587281, 19.5870041159, 14.3196482287, 15.6255528885, 68.4473972639, 9.1718877778, 19.1623260281, 9.6232609252, 17.8160111905, 13.4707991911, 9.4687134148, 13.9926527730, 28.4978539598, 8.6129377007, 9.9766684207, 10.7912045514, 8.2061535193, 9.6004499918, 15.9265329115, 21.2959464126, 9.9797088346, 28.7974554154, 14.0653130438, 8.7823471552, 9.5223434070, 21.3839641793, 12.2728968358, 103.8610463974, 37.8426871231, 17.9546685705, 22.3706335376, 15.9902741676, 8.7441136744, 12.8909648343, 10.6994581867
(Frank Leslie's Weekly), 430.9930763342, 315.8261730763, 441.4419905779, 956.5918435329, 414.8882411813, 432.3612871827, 1278.9009920807, 318.5918749874, 281.1462610955, 183.3657747014, 334.2102371045, 338.6251079407, 228.5108575476, 223.9951649000, 383.0832402573, 373.1020762840, 364.5769385971, 286.6494259400, 568.7715993903, 503.0918531672, 890.2130107379, 1549.2952546974, 215.7465150809, 350.8124265420, 446.4909031475, 294.2582980100, 370.2857668931, 715.5380040069, 740.7407574579, 483.8833345660, 1169.5213265163, 415.5935671879, 201.6564464313, 299.2488301851, 556.7286043309, 285.6839342376, 199.4875390706, 414.2889982422, 538.2830553235, 599.3049579039, 293.0679641901, 466.0191495801, 480.0020007044, 1414.9418236787, 138.3063778566, 437.4525348807, 418.3175734951, 532.4260358328, 439.3397068819, 334.2233452697, 295.4587360270, 327.7156310224, 678.4532049209, 500.2859902067, 272.8941578665, 183.7108858083, 646.9200105120, 442.6851123505, 234.0531980720, 296.3993195280, 541.9724739870, 1016.8079801972, 334.3820721368, 274.8246903544, 352.4431708984, 549.0715548400, 367.9552535154, 222.3356479879, 356.3455614463, 248.8716664637, 1009.7124604286, 261.6174214012, 623.0518817319, 520.4915405240, 233.0228291397, 1889.5876503547, 512.7609794697, 533.6496889855, 199.9203395440, 290.1160438297, 712.4886614038, 312.9009372479, 699.5420279151, 360.9514999068, 157.4856342739, 594.4268692514, 325.0820528849, 362.9034619661, 611.1020782351, 377.1323930505, 308.0213465057, 227.2553250941, 139.8165109724, 1310.0802300931, 414.2288749318, 261.6445542771, 504.0824275540, 258.6683241688, 720.7556083466, 702.0319745102
(Frederick Douglass Paper), 100.1258684455, 92.7928772170, 87.0269952797, 69.6439110127, 97.8404757756, 185.4710396219, 64.8543395712, 90.0743106923, 63.9519045682, 196.1072760778, 111.6705955916, 58.9482304748, 180.7509630706, 149.1858485133, 218.3685871574, 140.7240115344, 122.9562805412, 68.5071611299, 75.3814889043, 85.0094921190, 94.2031854734, 62.6194670854, 170.4375203796, 154.3833422141, 142.0560466023, 119.7991770573, 94.8430212919, 100.6373294903, 96.4182690047, 115.3908067579, 79.6773163897, 89.9692097866, 84.2648098197, 96.2860525242, 74.8371930739, 76.3356079942, 63.1505704683, 115.0842376931, 110.1568798242, 146.0856724868, 77.2648121721, 120.6021731413, 101.5330149214, 69.9754024579, 42.8496417783, 114.1831190498, 112.8077552382, 109.7865376780, 73.7845382396, 83.3041432819, 85.9111369063, 179.5371382594, 97.7325216006, 155.2559762307, 157.6828084026, 198.9261253833, 91.4798212869, 81.2019145998, 78.2299029519, 88.5559820155, 124.4969760043, 69.0865577758, 149.6923380636, 117.4642784673, 111.1965001359, 76.9525286457, 220.4862131212, 113.6137649450, 123.6533770913, 59.7445347254, 77.6430290792, 154.5195946995, 77.6954937738, 129.5802278374, 108.5881225511, 44.7247743366, 103.7253799425, 134.2060167459, 63.9838241027, 79.6786037393, 114.1201813013, 64.9495440230, 98.9989836810, 137.4704009951, 47.0008404314, 94.1700804451, 173.7382106328, 94.5673616845, 88.4506020361, 65.0568894348, 172.9329160585, 100.7121255811, 44.5216326464, 78.5355383072, 109.8755739263, 124.0629853590, 126.1017389327, 59.9516043781, 111.1805478666, 87.2382695070
(Freedom's Journal), 28.5975980913, 24.8645127852, 21.3096659305, 13.0398921385, 19.8306717688, 31.0204459027, 12.1555959767, 19.6118473815, 14.9088492238, 33.3026348298, 13.9791541891, 12.4075724994, 23.4359648753, 18.4682697938, 26.4879436008, 19.3927622156, 25.3024679904, 12.6305299787, 21.1832031924, 22.1745159009, 12.8328845854, 10.6524400090, 18.9655438142, 26.5042862982, 17.7685050629, 20.7290023931, 18.1965133764, 35.7268294477, 33.7325547997, 66.1915431933, 12.7025161704, 31.6616210791, 11.2500980127, 19.1408499057, 20.6831785353, 22.9619330334, 13.0300695428, 15.9592848911, 17.0981643935, 56.7731621498, 15.9381739215, 21.6226749267, 15.3943648196, 11.6875180284, 7.7315627004, 70.6713831040, 29.1492640405, 24.8826848408, 13.6185821232, 12.7182039884, 14.6084648979, 20.3609122698, 22.2472314340, 27.4953834821, 26.6000433496, 14.7486666743, 14.0570526263, 30.2576187877, 15.8482047526, 13.3315306648, 13.4721664224, 13.4196768081, 32.0901646806, 24.8113216806, 19.7600960905, 13.8734047081, 10.7952386836, 15.7172366361, 20.9558920211, 9.3575975851, 13.2797883696, 20.7290619614, 13.6735474473, 29.5088735514, 13.5569456520, 8.3759829912, 16.1524096715, 16.2307469154, 12.7378900864, 19.4238882657, 20.3427268145, 15.7773316955, 21.6326341301, 35.3076255637, 8.6383297716, 25.8606600975, 24.7466774931, 24.7415886132, 25.6275149511, 13.9981251210, 16.3408961142, 19.4811879394, 7.7999645676, 16.7710490971, 22.0700773392, 12.6016758446, 17.8703496177, 11.8687063458, 26.8216836921, 21.1446646021
(Godey's Lady's Book), 418.4653785590, 306.8330788209, 446.9287659872, 235.2926954744, 280.9119422573, 224.5999821966, 276.4685479438, 406.2071754917, 238.0387996780, 158.0529076029, 167.8005487338, 2331.0459065161, 181.5263332804, 163.0700748576, 188.8835569334, 227.8412910585, 637.8828564557, 952.4665082474, 374.4210247381, 791.0896703903, 322.0041330605, 219.4704580741, 175.2889196245, 271.6951077550, 307.6688851827, 270.0341529074, 234.4375646442, 404.0130930637, 235.7261741014, 1635.6972939277, 203.0635337255, 201.4676434927, 160.7485584444, 218.3913138847, 390.5687445900, 267.9577436740, 155.3106782809, 175.3866270424, 202.8592003449, 207.8723442122, 176.2064577607, 434.4189837213, 169.4310268423, 195.4233219592, 329.1248748268, 656.3239225485, 935.1074441472, 238.2567868989, 341.8827328207, 215.2695291120, 369.2496709073, 175.4714693670, 417.6972471709, 314.7281446761, 295.7617072223, 161.7815681351, 204.1852110163, 385.9459668903, 175.5927134063, 278.6157162229, 624.2846725269, 328.3155558986, 282.0104959682, 181.9813973121, 211.6293523186, 1100.5568276323, 162.1629485134, 186.1747285096, 253.5922963435, 156.0419691906, 365.4584404604, 208.6912359851, 556.4483489258, 396.2089066201, 194.0001165967, 159.0828945104, 179.7375373813, 211.5245657514, 159.3566704728, 362.7952974510, 206.8412143357, 1319.1067604050, 763.6591476473, 410.1220650976, 423.2124080792, 769.0357139744, 313.8174667964, 276.7631550194, 1214.4143844195, 365.2830651473, 199.7758143391, 271.3966456020, 189.1862248480, 205.8394775610, 323.5677389951, 170.0509325295, 331.5289619694, 1752.3175336188, 772.4476212320, 501.6156993417
(National Anti-Slavery Standard), 74.0774423579, 53.6037209344, 63.5430024396, 36.0087711336, 69.5187724685, 113.5573674202, 38.0401623302, 75.0753537521, 44.8396151462, 162.5534173241, 102.1520462331, 33.0941239561, 64.9988749081, 91.8751898629, 141.0839262777, 94.9230237119, 87.8209139167, 39.9437547524, 71.6869182227, 68.7183489844, 187.5928191557, 31.6962483809, 320.9284116343, 116.2436439834, 92.7234847053, 85.8667770011, 99.7894274503, 82.6781883051, 76.9070110372, 158.4423398999, 54.6906102746, 75.3562904759, 284.7326226841, 52.0184586549, 62.9970273179, 257.7355184049, 33.3711979016, 76.3909773523, 50.0818494506, 137.4521250852, 394.9798668182, 101.3378446046, 156.4083108972, 69.3550472807, 21.0975711684, 152.2960777980, 96.3206542675, 96.1915263428, 37.8832956706, 54.3391067737, 36.7033488400, 130.4710297708, 68.0032663193, 109.7068796391, 89.6956130267, 213.4359458861, 50.6927236734, 66.2799027384, 41.7846316339, 51.5567714234, 102.9479153473, 48.8047932163, 150.2852933146, 87.1887864457, 126.5767737056, 40.8369373995, 113.6107149665, 91.4139106754, 86.7577392663, 30.5124297221, 41.3755625622, 103.9941009176, 46.1332743665, 99.5220643577, 58.9294893801, 96.5107725116, 61.1433447493, 97.2626216043, 39.9775395720, 61.5122508400, 89.8436352478, 46.8444605876, 58.6022466019, 102.9791416602, 22.9639103144, 68.8230720667, 135.9594380793, 79.0243350352, 84.9860752885, 40.4603366793, 85.7629666545, 71.1998262876, 21.8609771379, 59.6828602845, 79.4533573293, 120.5236324448, 64.3499422495, 33.3771097334, 93.6546414588, 56.0025306653
(National Citizen and Ballot Box), 3.4701689306, 3.5211428745, 2.6950129728, 1.8913528710, 3.3935326686, 3.6093606246, 6.0388838180, 2.4760453817, 1.8516843879, 1.5598112497, 6.0373113495, 2.3736266378, 1.9193583043, 5.3658141168, 5.2987196551, 5.0504170793, 3.0190204213, 3.2134890446, 2.2284378893, 1.9867290129, 8.2913246916, 2.5556639594, 3.2008723934, 2.0535873539, 3.7201376381, 2.2645343006, 2.6587995201, 1.8577409857, 1.4487590513, 1.7483094619, 4.1880568992, 1.7837312118, 2.2140738841, 2.7071524467, 1.6602194083, 19.5056488811, 1.6760768268, 4.4165661721, 2.3078575537, 1.8562458733, 4.5334760266, 3.6096941428, 1.7748342771, 2.7868522842, 1.1695743175, 1.8539715333, 2.4626961575, 2.4231297634, 2.1435350284, 3.5923752111, 1.7711532665, 11.9796965724, 2.0097616105, 3.1503856419, 3.1551235454, 2.0088660852, 2.7553669479, 2.6904034639, 2.0814442756, 59.5782251307, 4.2680896197, 8.5724528586, 2.9747148372, 2.2596377707, 1.9387318049, 2.3693300334, 4.7965489133, 2.4818514340, 3.9471669042, 1.5595235961, 2.0440211423, 5.0157931015, 2.4539439374, 2.9133724993, 1.8277113513, 2.9516495013, 5.7695010038, 5.7205164577, 1.9495622330, 5.1062939034, 2.2279300455, 2.2176034843, 2.0574746519, 5.4320364857, 1.2726436757, 2.3627950857, 3.8239888088, 2.1652211763, 1.9767598898, 1.4052408688, 4.4443580834, 2.2633319709, 1.1233749048, 1.9391250453, 2.8039624497, 1.6802588294, 3.2690145985, 1.6743210310, 2.1767172580, 4.1175857051
(Provincial Freeman), 51.8013663336, 43.1956571783, 54.7689040923, 40.3680658117, 48.9696236314, 58.1147696231, 32.6878555184, 36.0915106566, 32.3392947371, 64.9960131233, 45.4287424872, 34.7331716520, 69.4664817672, 48.7029650302, 69.4539724102, 68.0716461981, 45.3953178169, 32.8695489117, 45.5361013582, 67.1496949668, 36.4286937004, 30.8810786296, 44.6631143297, 58.4553404184, 53.5516720050, 54.5681753643, 111.2149908158, 67.2262482962, 79.0410648154, 62.4427711970, 42.3328787950, 59.5909822636, 28.6208789921, 50.1731725531, 38.6838109024, 47.7416866047, 30.3928779214, 45.7585961268, 92.6491008422, 100.8270055777, 32.2617959489, 56.1121259464, 61.9425857032, 33.5403169521, 21.5828331487, 64.8488827110, 48.5587133915, 66.5084881196, 51.4937284114, 35.1083696204, 34.9907048989, 53.7338173905, 57.6420560679, 68.8363275664, 52.4611830498, 44.4254942958, 54.7629998721, 45.7885856281, 37.9517046228, 36.9709469708, 36.6949280016, 35.1297689110, 63.8768307004, 52.6384291116, 63.6391165736, 35.2651558876, 47.1222370942, 48.0245872635, 55.0519498720, 27.8546750675, 33.8644580476, 45.2620869997, 36.6685560368, 66.7382571181, 39.8329746675, 22.7110609427, 47.9203662873, 50.1577557759, 32.8268984760, 32.9671778325, 129.3789207187, 72.3884952364, 53.0312190794, 54.1739621399, 23.5984148741, 50.6836883430, 56.5937419618, 43.9375556141, 54.4987252822, 40.3947601992, 53.4343976533, 39.1193158225, 21.7657744324, 63.2992035257, 63.8259813799, 47.3278768624, 46.7488489081, 32.6302398474, 54.7327441867, 53.2823600375
(The Christian Recorder), 1044.9688208082, 1548.6260500544, 1053.6132284967, 845.6529952905, 1216.7293152415, 1577.7543128475, 890.1510842903, 1125.1826367266, 699.0445716846, 674.6147079719, 816.8736129563, 704.5063565702, 1289.2543371595, 1090.2165595644, 857.1216383845, 1179.6029439988, 1361.2696759047, 839.8676106895, 731.5687366459, 1044.2244767566, 1113.3464246577, 859.1172557664, 923.0231679983, 862.9689353441, 1254.6144686977, 1075.5260073483, 859.1375681232, 946.8488368394, 827.0831313191, 1362.5044879674, 925.3882064114, 1013.0996138409, 653.5075385663, 872.6395139457, 753.8451368816, 1199.7935646421, 3869.7377600106, 1324.0213391579, 1081.9652717844, 887.6939264059, 678.4254371511, 1449.2213110196, 765.4878880061, 840.7508005541, 519.6876315810, 878.8965832095, 1266.9557590394, 1034.7067503207, 1530.4371091700, 1392.0151399661, 790.3056457269, 844.5737790222, 1016.8657987487, 1240.7176624985, 1372.0103319947, 674.6503234263, 937.8218674621, 1012.6115755450, 3780.2360573160, 805.0386765995, 1140.6712696683, 960.1173130479, 1042.2655034444, 1741.3728773823, 789.9236672870, 820.1105153740, 869.8967159170, 1531.7518691983, 1894.9158263364, 718.7489810590, 808.3631115829, 868.7126051617, 832.3997626910, 1252.6913158650, 761.3047297275, 552.1673334279, 1261.0430837795, 952.6261087094, 3234.9398310558, 1265.1743739366, 854.4614737129, 789.8936770377, 1086.9765721960, 1248.4965497732, 567.3881397893, 900.9244589484, 1049.0226343820, 1274.3956393420, 1056.4962569056, 705.8085615524, 1208.3169360894, 2409.6963491730, 522.6541994596, 1225.3763315898, 1159.7082308288, 856.6829617105, 1250.7753720102, 715.4681490349, 999.5646692583, 1023.5740973966
(The Colored American), 61.6117962175, 87.1726575799, 54.1865063178, 36.7501119173, 56.4234355941, 114.5542205764, 37.6325378635, 53.9126247950, 34.7530738813, 87.7557001816, 50.2507405570, 33.2658647670, 148.8450753552, 136.7202974135, 76.7501427377, 89.6406795126, 97.8827935183, 37.1600272424, 39.2311484776, 55.7836176085, 49.4632173488, 32.8982756661, 85.9206210800, 82.3242935432, 64.4291664371, 77.6527378135, 60.8532523971, 49.8302027136, 65.6989293960, 119.6559172865, 42.7819035573, 81.8241018499, 39.6445686887, 68.4629868126, 43.5208590337, 57.0951892737, 40.7618729391, 51.2120333494, 59.3109180959, 73.4245704273, 40.4280836287, 76.4600604971, 52.2627854121, 40.9097412501, 23.7122744105, 96.3916864469, 91.4218973484, 74.1005195789, 36.9997428799, 45.5485063304, 40.1646362206, 76.6486641793, 68.2215271142, 107.2975026286, 119.3659037136, 103.7324843865, 42.5460053450, 64.0784738755, 60.5590225526, 43.0862220769, 53.0331095260, 41.9862565726, 122.7127486226, 89.1385119872, 54.8402760017, 39.4811292476, 51.5673304928, 85.9032979040, 82.9095794736, 30.4317255714, 38.5307202163, 81.5835260311, 42.5954313726, 77.6143644187, 42.3415220202, 25.8045821547, 52.3633620358, 62.1398751455, 47.5572063413, 45.2584816298, 44.8125155445, 37.4398488359, 47.9847382269, 135.2653379577, 26.6593015784, 57.8840536181, 95.6057037690, 70.9726244100, 61.2065275780, 31.9908103923, 73.6199290094, 117.7757070647, 24.5140924417, 39.0097011333, 86.0186469082, 48.6255489747, 65.9312805911, 34.5845587921, 62.3091740178, 62.0124534606
(The Liberator), 736.5829420677, 790.6491222403, 756.3214549457, 557.5449776344, 799.3322953506, 1201.2847858654, 555.9598487709, 699.3561871736, 759.6256034696, 1784.1019783572, 1022.5699492684, 477.3717993302, 1119.2702478858, 1413.4089788835, 1269.1183295378, 1096.3133013957, 996.6471481131, 569.6816277444, 551.4585033790, 651.7200903319, 975.0997824737, 498.1399578933, 1937.9643511258, 1687.6098464047, 1087.1315104030, 1072.1908326409, 609.5503047132, 757.1116226967, 852.5769509317, 1646.2254515326, 593.4238283689, 783.4699890874, 2518.7130766555, 789.1840650903, 575.6998092977, 915.5404780035, 525.0614235162, 865.2830711940, 710.0606930553, 1494.8287351862, 871.0618956870, 1018.5778638946, 896.5750371767, 567.4096382363, 1816.4184505861, 905.3151649470, 942.8515531988, 882.2906534181, 935.0377581570, 772.5855785310, 595.5546205175, 1433.9614942525, 706.6885275527, 1184.2932803573, 1232.8970887274, 2278.6801982240, 598.3016624938, 619.6192758937, 659.7398318444, 757.7571318296, 894.5981972984, 658.2323056803, 1652.0055701077, 1206.7147859791, 1019.0743912274, 534.4315480607, 1149.4931110155, 1305.6831472696, 807.1112931165, 1307.0185587259, 583.6719688399, 1477.9189291401, 624.4705218975, 935.9538258461, 1114.0255258173, 460.7457814030, 827.9946988605, 1177.5258608146, 643.9545128745, 626.8053076894, 640.7280607526, 518.8495851339, 590.8151771664, 1126.3394771040, 713.6690392472, 651.6059445011, 1894.7860656129, 860.7556129055, 801.4824336221, 568.5814960812, 1358.0152045831, 1064.6126049228, 2672.7124422746, 967.0721086638, 876.5409239545, 1331.6327386332, 916.4828288885, 504.2774776630, 797.7218736377, 721.0874145294
(The Lily), 50.0175520738, 27.0800360192, 38.9508188875, 12.5537497417, 19.0669274473, 23.4788047989, 12.2213299623, 17.9214429782, 14.0214144085, 12.1187508716, 15.1559129899, 20.6508305533, 11.7304258629, 27.8073961005, 23.2362904774, 30.1865359855, 65.7125277907, 16.2369445460, 11.3674122815, 20.1380685637, 38.2922149296, 10.5122015760, 24.7782970106, 29.9828968357, 25.5790090321, 21.3610342393, 12.9885490044, 22.6627731995, 10.8894457857, 77.1013015631, 13.7878617153, 10.2392145642, 11.1324876341, 114.7671968892, 15.7966937366, 14.4491561930, 9.3478672250, 19.6297441599, 14.5251521424, 16.6034993166, 22.2319873953, 36.8577996247, 9.4444978769, 14.9599499112, 6.5161854718, 31.8547024359, 87.6425685317, 17.3612184388, 17.1781799273, 18.3053009210, 15.8592317803, 23.9490621119, 22.6972804347, 34.2079975910, 48.6098154705, 15.2300444709, 16.2959364620, 14.2091331154, 12.3058346337, 129.9941191236, 16.2268047523, 13.5652232661, 34.1895619058, 14.5294100489, 11.8607325503, 28.2305123879, 17.0534882053, 15.8032912151, 24.3316287846, 8.4870743615, 13.1369096159, 47.6557483094, 15.3144658808, 29.7979338607, 12.0248385869, 7.4001453242, 20.1798935436, 16.1735121956, 10.2198133994, 45.5387887627, 10.5708233195, 15.9327551379, 41.1149500186, 72.6486628859, 7.8320656620, 45.9932047824, 44.8095464164, 21.2566198174, 55.3890300680, 13.1661598086, 26.4326565594, 21.6986627227, 6.8898935565, 10.8044785283, 44.7378012987, 11.1394550777, 27.3405263262, 12.7369728900, 39.4732361270, 19.5221075151
(The National Era), 231.4478124054, 229.9511434064, 252.3735732576, 209.1906452469, 330.1884838133, 389.9767231500, 190.0954605953, 266.9281574653, 176.9184813487, 436.3082002788, 833.2602056838, 160.1078739902, 237.9753873640, 447.6224332136, 521.6496675950, 552.2969313247, 333.8794742167, 183.3753341149, 239.4702920301, 241.8073166587, 422.4060364965, 174.7709644733, 237.3258594657, 414.6829882083, 424.7952458727, 327.7003499042, 601.4085894527, 263.8697887911, 351.7167935028, 443.9357423364, 286.5235879789, 284.4521734774, 198.3660049600, 217.5584231609, 226.4600570210, 218.7085343653, 171.5594351939, 504.5311691627, 276.4497162278, 374.5095035433, 180.3818430194, 324.5333127913, 598.5986046101, 220.1137612358, 116.3592625920, 348.3793773848, 327.7388581701, 579.6423263106, 254.6112775852, 233.7574380954, 200.1172801976, 992.7580766052, 299.5720286941, 558.0994943946, 308.1449327849, 349.2492030498, 398.1415194746, 241.1806062127, 178.9551963115, 191.1461350151, 499.2865699197, 220.0967950320, 597.8220149086, 310.6777003854, 285.9573023416, 275.5594366089, 1552.2256947548, 277.1271856154, 317.6438331286, 181.1201136801, 192.1352558274, 368.7515771104, 224.7724624484, 318.6710113987, 257.1500542490, 126.4459019342, 409.5694024730, 481.7290890204, 177.3783701775, 171.7519214465, 599.7155559024, 173.4385514107, 271.2919192387, 406.1962868711, 128.6990669887, 268.2214142881, 348.4615481485, 249.7846483883, 342.2660084097, 183.6163238798, 291.4146775576, 232.1187786376, 120.2746623172, 327.6578477846, 295.1117442624, 661.3780448963, 345.0972673740, 166.1902061994, 368.5551093487, 248.6035541228
(The North Star), 58.6834389228, 51.5441066467, 68.0331638959, 44.0333180118, 56.0103298946, 74.6528151433, 38.8112150534, 55.1223971201, 41.0422434504, 130.5412201644, 75.5772454918, 35.7655603816, 100.9690656985, 85.0330628784, 94.3275464553, 79.2538511708, 94.4562691632, 38.7161076119, 49.4148234597, 57.4514368019, 44.8478301507, 36.4365653814, 84.9902709822, 104.0711912288, 75.4067207963, 74.7630720685, 115.3171903258, 68.4600599562, 62.7912216485, 130.9537999460, 44.8708781554, 56.1871164202, 48.6945389220, 51.5159940369, 49.3267392065, 47.6653480749, 35.1650343400, 66.9096342537, 53.1275403519, 84.4111969162, 44.8670569651, 72.7659477506, 66.0792696304, 40.1863681538, 25.8326302172, 83.8713033265, 81.4746902780, 78.6865877191, 58.5747646108, 43.0782834977, 43.5076902734, 112.4464664072, 68.7487908847, 95.1008572181, 95.3772620388, 97.1885433134, 59.5773395797, 53.7930595674, 42.9349077928, 47.3458214949, 47.8481748407, 39.3766461090, 98.1522215609, 61.5134148483, 72.1496154122, 41.9701610366, 99.2390535026, 70.8086886185, 61.6575576935, 34.6883757242, 43.0278779114, 89.9146848207, 44.6442693038, 77.3642842967, 45.8750741343, 27.8183025208, 51.5965761112, 81.3716548108, 38.1370976081, 40.6328014172, 67.9995175279, 39.2932991595, 50.9659263799, 93.8373026486, 28.7171578706, 61.3460851350, 142.1515455471, 55.9510877534, 71.2695372911, 39.0410173065, 92.4536668922, 55.9995544253, 26.7429068667, 48.1310583884, 78.8231006104, 98.5719467087, 72.7633249057, 37.5031979650, 85.2969111063, 54.5665225726
(The Revolution), 15.8121464500, 12.5300628088, 10.0967793506, 3.8039847747, 7.4487847237, 6.9736097549, 7.8467196477, 8.4920995786, 3.4398369302, 3.3919782200, 5.7021697652, 7.7972520446, 4.4561044076, 6.8490060891, 6.1274977721, 14.2742136588, 15.7388797569, 7.3637999643, 7.8446821863, 6.1910745878, 14.0237457601, 4.1781457274, 5.2648659749, 10.6267972735, 12.9091049052, 6.0120451637, 4.3560505811, 8.0742113796, 3.6631849076, 13.3414542767, 66.6475027672, 3.3826403794, 3.6140745833, 7.7294601102, 4.4369445117, 10.2528114068, 2.4938549048, 5.2140310408, 6.5090855584, 5.1081726158, 8.0246067449, 16.8520835551, 3.0173029796, 11.0725258563, 1.4247533753, 7.1268252355, 14.4915517359, 8.0851005956, 79.7949388432, 11.0838906587, 4.1825578112, 9.2338921177, 6.8174649673, 10.7761874734, 6.8144048368, 3.8285327265, 8.1105306996, 6.0458700548, 4.1153459653, 138.7633375470, 12.3150277171, 65.0584084667, 9.8691328197, 5.1092611866, 9.7411941917, 12.0186009341, 9.1509141335, 5.8033873091, 12.4210712323, 2.7624045388, 6.4124353016, 9.5969088961, 6.6253816161, 8.2106281461, 6.5295458442, 6.4475768732, 8.7671803635, 11.1994013816, 3.0819755330, 11.1065739668, 6.4665570514, 5.5664982242, 14.4553619709, 20.4859273453, 1.6845526967, 18.4667951594, 8.6081065743, 5.8978186264, 13.9560924755, 6.9285437106, 9.9305235776, 6.7728120077, 1.4935400907, 4.2142888687, 16.4342410341, 3.9996923650, 10.4776520877, 4.4238819826, 11.8402188283, 6.9893148031
(Weekly Advocate), 1.1402765936, 1.4834691915, 1.0319618005, 0.7893262301, 1.1660993610, 1.4470788766, 0.7864068764, 1.1584416677, 0.8558702254, 1.6174753785, 1.2254488321, 0.7024836828, 2.2987698195, 1.9578543456, 1.0628731877, 3.3284767368, 3.3533176756, 0.7969031291, 0.6512560057, 0.9453720724, 1.6426683104, 0.6430427129, 1.9939683178, 2.7548886360, 1.3282442251, 1.2023060617, 1.0613192009, 0.7775707796, 1.1816855324, 3.3111369924, 0.9043111957, 1.8696671401, 0.8718309195, 1.8727608556, 0.8251642922, 2.1226735507, 0.6967155140, 2.5243351957, 1.1978488396, 1.0128596515, 0.8182776328, 1.7092561778, 0.9236806732, 1.2884358239, 0.5299831434, 2.8210225761, 2.3439174059, 1.7759484862, 0.6552957981, 1.0242800483, 0.9279079125, 1.3686456752, 2.1528113540, 2.4601853428, 3.3739526697, 1.7259716500, 2.1294484831, 1.2419203841, 0.8775236002, 0.9185761439, 1.4382504199, 0.8417033937, 2.5229408132, 1.4644418242, 0.9147224395, 0.7142103715, 0.6991104522, 1.9631494817, 1.5497611090, 0.5995006726, 0.8261715822, 1.9415180216, 0.9410621120, 1.1114175383, 0.8166842129, 0.5661570920, 1.1005840023, 1.2146049627, 0.9173792412, 0.9523665593, 0.9361302118, 0.6596116004, 0.7400939606, 4.6648415899, 0.5557180584, 1.1597074620, 2.2918423921, 1.4456687699, 1.1116407039, 0.6433752727, 1.1247309739, 1.3395427146, 0.5167542293, 0.7575318142, 1.9498108905, 0.9508647667, 2.0291176298, 0.6759509785, 1.3028133042, 1.3873157894, 